id,yearDisplayDate,startDate,displayDate,contexts,titleEN,titleTC,paragraphEN,paragraphTC,imageObjectNo,imageObjectId,imageTitleEN,imageTitleTC
E071,1998,1/1/1998,1998,ART,"Inside Out: New Chinese Art exhibition
",「內外：中國新藝術展」,"Inside Out: New Chinese Art opens at Asia Society Museum and MoMA PS1 in New York. Curated by Gao Minglu, the exhibition shows the work of fifty-one Chinese artists, including the Big Tail Elephant group, Gu Wenda, Huang Yong Ping, the New Analysis Group, Qiu Zhijie, Song Dong, and Zhang Peili. It subsequently tours internationally.
",由高名潞策展的「內外：中國新藝術展」在美國紐約亞洲協會和現代藝術博物館PS1當代藝術中心舉行，展示51位中國藝術家的作品，當中包括大尾象工作組、谷文達、黃永砯、新刻度小組、邱志傑、宋冬及張培力，展覽其後更巡迴至世界各地展出。,,,,
E072,1998,6/2/1998,6 February 1998–24 May 1998,ART,"The Guggenheim organises A Century in Crisis: Modernity and Tradition in the Art of Twentieth-Century China exhibition
",古根漢美術館策劃「危機中的世紀：二十世紀中國藝術中的傳統與現代」展覽,"A Century in Crisis: Modernity and Tradition in the Art of Twentieth-Century China is held at the Guggenheim Museum SoHo. The modern half of the exhibition travels to the Guggenheim Museum Bilbao.
",「危機中的世紀：二十世紀中國藝術中的傳統與現代」在紐約古根漢美術館蘇豪分館展出。展覽中現代藝術的部分其後巡迴至畢爾包古根漢美術館展出。,,,,
E073,1999,1/11/1998,1999,ART,"The Chinese Contemporary Art Award (CCAA), the first of its kind, is founded by Uli Sigg
",烏利·希克創辦中國當代藝術獎（CCAA），開創同類獎項的先河,,,,,,
E074,1999,1/1/1999,January 1999,ART,"Post-Sense Sensibility exhibition
",「後感性」展覽,"Qiu Zhijie curates the first Post-Sense Sensibility exhibition in the basement of an apartment building in Beijing.
",邱志傑在北京一座公寓的地下室策劃首個「後感性」展覽。,,,,
E075,1999,18/2/1999,18 February 1999–18 April 1999,ART,"Transience: Experimental Chinese Art at the End of the Twentieth Century tours in the United States
",「瞬間：二十世紀末的中國藝術」在美國各地巡迴展出,"Wu Hung curates Transience: Experimental Chinese Art at the End of the Twentieth Century at the Smart Museum of Art in Chicago. Twenty-one artists, including Xing Danwen and Yin Xiuzhen, participate in this exhibition, which tours throughout the United States.
",巫鴻在芝加哥斯瑪特美術館策劃展覽「瞬間：二十世紀末的中國藝術」，有21位藝術家參展，包括邢丹文及尹秀珍，展覽其後在美國各地巡迴展出。,,,,
E076,1999,13/6/1999,13 June 1999–9 November 1999,ART,"More than twenty Chinese artists participate in the 48th Venice Biennale
",超過20位中國藝術家參與第48屆威尼斯雙年展,"Works by more than twenty Chinese artists are exhibited in d’APERTutto: APERTO Over All, curated by Harald Szeemann at the 48th Venice Biennale. Huang Yong Ping is one of two artists showing work in the national pavilion of France. Cai Guo-Qiang becomes the first Chinese artist to be awarded the Golden Lion for his installation Rent Collection Courtyard.
",由哈洛·史澤曼策展的第48屆威尼斯雙年展「全面開放」展出超過20位中國藝術家的作品；有兩位藝術家出展法國國家館，其中一位是黃永砯；蔡國強則憑裝置作品《收租院》成為首位獲頒「金獅獎」的中國藝術家。,,,,
E077,1999,20/12/1999,December 1999,SP,"Portugal hands over Macau to China
", 葡萄牙把澳門交還中國,,,,,,
E078,2000,6/1/2000,6 January 2000–6 January 2001,ART,"The 3rd Shanghai Biennale is led by international curators
","第三屆上海雙年展由國際策展人策展 
","The 3rd Shanghai Biennale appoints Hou Hanru and Toshio Shimizu as curators. This marks a new beginning for biennials in China, as they begin to be led by international curators and to focus on contemporary art.
",侯瀚如和清水敏男擔任第三屆上海雙年展策展人。這是首次由國際策展人策展並以當代藝術為主的雙年展。,,,,
E079,2000,4/11/2000,4 November 2000–20 November 2000,ART,"Fuck Off exhibition 
",「不合作方式」展覽,"Ai Weiwei and Feng Boyi organise the Fuck Off exhibition at Eastlink Gallery in Shanghai on 4 November, in which forty-eight participating artists—including Ai Weiwei, Cao Fei, Chen Shaoxiong, Gu Dexin, Lin Yilin, Yang Fudong, and Zheng Guogu—use different gestures and non-cooperative methods to express their understanding of the contemporary art system.
",11月4日，艾未未和馮博一於上海東廊藝術畫廊策劃展覽「不合作方式」，艾未未、曹斐、陳劭雄、顧德新、林一林、楊福東和鄭國谷等48位參展藝術家，嘗試使用不同的表達形式和不合作方法來表達他們對當代藝術體制的了解。,,,,
E080,2001,1/1/2001,2001,ART,"The 798 Art District is founded in Beijing
",北京798藝術區成立,,,,,,
E081,2002,1/1/2002,2002,ART,"Moganshan Road Art District is founded in Shanghai
",上海莫干山路藝術區成立,,,,,,
E082,2002,18/11/2002,18 November 2002–19 January 2003,ART,"The first Guangzhou Triennale 
",首屆廣州三年展,"The first Guangzhou Triennial, Reinterpretation: A Decade of Experimental Chinese Art (1990–2000), opens at the Guangdong Museum of Art in November, curated by Wu Hung, Wang Huangsheng, Huang Zhuan, and Feng Boyi. It is a major retrospective of Chinese contemporary art.  
",由巫鴻、王璜生、黃專及馮博一策展的首屆廣州三年展——「重新解讀：中國實驗藝術的十年（1990–2000年）」於11月在廣東美術館開幕，為中國當代藝術大型回顧展。,,,,
E083,2002,1/12/2002,December 2002,SP,"Shanghai wins the bid to host Expo 2010
",上海取得2010年世界博覽會的主辦權,,,,,,
E084,2003,15/3/2003,15 March 2003,SP,"Hu Jintao becomes President of the People’s Republic of China
",胡錦濤出任中國國家主席,,,,,,
E085,2003,1/6/2003,June 2003,ART,"The China National Pavilion is established at the 50th Venice Biennale
",中國在第50屆威尼斯雙年展開設國家館,"China establishes a national pavilion at the 50th Venice Biennale, but the first official exhibition is cancelled due to the outbreak of the Severe Acute Respiratory Syndrome (SARS) epidemic. China continues to be a national participant in the Venice Biennale.
",中國在第50屆威尼斯雙年展開設國家館，雖然因嚴重急性呼吸系統綜合症（沙士）疫情展覽未能如期開幕，但是從此中國國家館成了威尼斯雙年展的常設項目。,,,,
E086,2004,1/6/2004,June 2004–July 2004,ART,"Chinese contemporary art is featured in official cultural exchange projects
",中國當代藝術出現在官方組織的國際文化交流項目,"During the Sino-French Culture Year, blockbuster exhibitions to celebrate Chinese contemporary art are organised in France. In June, Fei Dawei curates Le moine et le démon : art contemporain chinois (‘The Monk and the Demon: Chinese Contemporary Art’) at the musée d’art contemporain de Lyon, with the support of the Guangdong Museum of Art and the Guy & Myriam Ullens Foundation. In July, Fan Dian and Yin Shuangxi curate L’exposition des sculptures chinoises (‘China-Imagination: An Exhibition of Contemporary Chinese Sculpture’) in July at the jardin des Tuileries, Paris. This is the first time Chinese contemporary art is featured in an intergovernmental cultural exchange project. 
",在中法文化年期間，有多個為慶祝中國當代藝術而籌辦的大型展覽在法國舉行，包括由費大為策展的「裏裏外外：中國當代藝術展」。展覽於6月在里昂當代藝術館開幕，由廣東美術館及尤倫斯基金會支持。由范迪安及殷雙喜策展的「中國·想像：中國當代雕塑展」，則在7月於巴黎杜樂麗花園開幕。這是中國當代藝術首次出現在政府組織的國際文化交流項目中。,,,,
E087,2004,11/6/2004,11 June 2004–5 September 2004,ART,"Between Past and Future: New Photography and Video from China exhibition
",「過去與未來之間：來自中國的新攝影和錄像」展覽,"Wu Hung and Christopher Phillips curate Between Past and Future: New Photography and Video from China at Asia Society, New York, in June. Over sixty artists and 130 works are presented. The exhibition tours to major international art institutions, including the Haus der Kulturen der Welt in Berlin and the Victoria and Albert Museum in London.
",巫鴻及Christopher Phillips於6月在美國紐約亞洲協會國際攝影中心策劃展覽「過去與未來之間：來自中國的新攝影和錄像」，展出超過60位藝術家的逾130件作品，展覽同時巡迴至多個國際藝術機構舉行，當中包括柏林世界文化中心及倫敦維多利亞與亞伯特博物館。,,,,
E088,2005,1/6/2005,June 2005,ART,"Major coverage of Chinese contemporary art appears for the first time in the 27 June edition of Time magazine

",有關中國當代藝術的主要報導首見於6月27日出版的《時代》雜誌,,,,,,
E089,2005,1/9/2005,2005,SP,"Blogging becomes popular in China
",博客開始在中國流行,,,,,,
E090,2006,31/3/2006,31 March 2006,ART,"Sotheby’s holds its first New York sale of Chinese contemporary art
",蘇富比首次在紐約舉辦中國當代藝術拍賣會,,,,,,
E091,2006,23/11/2006,23 November 2006,ART,"The Museums Advisory Group (MAG) of the Consultative Committee on the Core Arts and Cultural Facilities of the West Kowloon Cultural District in Hong Kong proposes to build M+, a museum for visual culture

",香港西九龍文娛藝術區核心文化藝術設施諮詢委員會轄下的博物館小組完成顧問報告，明確提出建立M+博物館推廣視覺文化,,,,,,
E092,2007,1/112007,November 2007,ART,"The Ullens Center for Contemporary Art opens
",尤倫斯當代藝術中心開幕,"The Ullens Center for Contemporary Art, founded by Belgian collectors Guy and Myriam Ullens, opens in Beijing in November.
",由尤倫斯公爵夫婦創辦的尤倫斯當代藝術中心於11月在北京開幕。,,,,
E093,2008,14/5/2008,14 May 2008–18 May 2008,ART,"The first Hong Kong International Art Fair 
",首屆香港國際藝術展,"The first edition of the Hong Kong International Art Fair opens in May at the Hong Kong Convention and Exhibition Centre. Over one hundred galleries from Europe, the United States, mainland China, and Hong Kong participate, successfully positioning Hong Kong as an important international art market in Asia.
",首屆「香港國際藝術展」在5月於香港會議展覽中心開幕，有超過100家來自歐洲、美國、中國內地及香港的畫廊參展，成功令香港成為亞洲重要的國際藝術市場。,,,,
E094,2008,12/5/2008,12 May 2008,SP,"The Sichuan earthquake
",四川發生地震 ,"An earthquake hits Sichuan on 12 May. Intellectuals use social networking, blogs, and bulletin-board systems to demand an explanation of the local corruption that led to the collapse of a large number of poorly constructed schools.
",5月12日，四川發生地震，知識分子在新興的博客和論壇等網絡空間批評當地貪腐行為導致大量學校倒塌，並要求為事件解釋。,,,,
E095,2008,8/8/2008,8 August 2008–24 August 2008,SP,"The Olympic Games are held in Beijing
",奧林匹克運動會於北京開幕,,,2012.904,3096,"Shi Guorui, Bird's Nest Stadium 15 Jan 2008, 2008. M+ Sigg Collection, Hong Kong. By donation. © Shi Guorui.",史國瑞，《鳥巢 2008年1月15日》，2008年。香港M+希克藏品（捐贈）。© 史國瑞。
E096,2009,1/1/2009,2009,ART,"The Contemporary Art Academy of China is established
",中國藝術研究院當代藝術院成立,"The Contemporary Art Academy of China is established. Cai Guo-Qiang, Fan Lijun, Wang Guangyi, Yue Minjun, Zhang Xiaogang, and Qiu Zhijie are among the twenty-two artists appointed as fellows of the academy. 
",中國藝術研究院當代藝術院成立，蔡國強、方力鈞、王廣義、岳敏君、張曉剛、邱志傑等22位當代藝術家獲聘為院士。,,,,
E097,2010,1/1/2010,2010,SP,"The rise of Weibo
",微博的興起,"In China, the popularity of the social media platform Weibo rises, drastically shifting the way public affairs are discussed in the media. 
",微博這種社交媒體開始在中國流行，大大改變了在媒體上討論公共事務的方式。,,,,
E098,2010,18/4/2010,18 April 2010,ART,"The Minsheng Art Museum opens
",民生現代美術館開幕,"The Minsheng Art Museum, funded by the China Minsheng Bank, opens in Shanghai. This indicates the new interest in contemporary art in China’s financial capital market. 
",由中國民生銀行投資建設的民生現代美術館在上海開幕。此舉被認為是中國的金融資本開始關注當代藝術。,,,,
E099,2010,1/5/2010,1 May 2010–31 October 2010,SP,"Expo 2010 in Shanghai
",2010年上海世博會,"Expo 2010 is held in Shanghai, with the theme ‘Better City, Better Life’, signifying Shanghai’s positioning as the next great world city. Including China, 192 countries participate in what is the largest Expo in history.
",2010年上海世博會於5月1日開幕，主題為「城市——讓生活更美好」，標誌着上海成為了新一代的國際城市。包括中國在內共有192個國家參與了這次史上最大規模的世博會。,,,,
E100,2011,3/4/2011,3 April 2011–22 June 2011,ART,"Ai Weiwei is detained
",艾未未拘留,"Ai Weiwei is held in detention for eighty-one days. He is subsequently charged with tax fraud, but claims his activism around the Sichuan earthquake was the real reason for his detainment.  
",艾未未被拘留81天，隨後被起訴逃稅，艾未未認為他被起訴是因為發起對四川地震的調查活動。,,,,
E101,2011,3/4/2011,3 April 2011,ART,"Guy and Myriam Ullens, Belgian art collectors, auction their collection. The sale sets new records for Chinese contemporary art
",比利時收藏家尤倫斯公爵夫婦開始拍賣其名下的中國當代藝術藏品，並創下了一系列新的價格紀錄,,,,,,
E102,2012,8/5/2012,8 May 2012,ART,"Art Basel acquires the Hong Kong International Art Fair and renames it Art Basel in Hong Kong
",香港藝術博覽會被巴塞爾藝術博覽會收購，並改名為巴塞爾藝術展香港展會,,,,,,
E103,2012,12/6/2012,12 June 2012,ART,"M+ Sigg Collection
",M+ 希克藏品,"Uli Sigg donates 1,463 artworks from his collection of Chinese contemporary art to M+, West Kowloon Cultural District. M+ acquires another forty-seven works from Uli Sigg’s collection. Named the M+ Sigg Collection, this group of 1,510 works is the largest and most comprehensive public collection of Chinese contemporary art in the world.
","烏利·希克博士將1,463件由其收藏的中國當代藝術藏品贈予西九文化區 的M+，M+另外再向他購買了47件作品。這批合共1,510件作品被稱作M+ 希克藏品，是目前世界上關於中國當代藝術最全面的收藏。",,,,
E104,2012,15/11/2012,15 November 2012,SP,"Xi Jinping is appointed General Secretary of the CPC and Chairman of the Central Military Commission
",習近平出任中共總書記及中央軍事委員會主席,,,,,,
